Amt	Comb	Avg	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number
100	50	10.4	1	1	7.62	7.62	1	1
99	0	0.0		0				0
98	0	0.0		0				0
97	0	0.0		0				0
96	0	0.0		0				0
95	39	10.7	4	1	15.96	15.96	4	1
94	0	0.0		0				0
93	0	0.0		0				0
92	0	0.0		0				0
91	0	0.0		0				0
90	39	9.7	3	1	14.26	14.26	3	1
89	0	0.0		0				0
88	0	0.0		0				0
87	0	0.0		0				0
86	0	0.0		0				0
85	31	9.7	4	1	14.47	14.47	4	1
84	0	0.0		0				0
83	0	0.0		0				0
82	0	0.0		0				0
81	0	0.0		0				0
80	31	8.7	3	1	12.77	12.77	3	1
79	0	0.0		0				0
78	0	0.0		0				0
77	0	0.0		0				0
76	0	0.0		0				0
75	24	8.7	3	1	12.11	12.11	3	1
74	0	0.0		0				0
73	0	0.0		0				0
72	0	0.0		0				0
71	0	0.0		0				0
70	24	7.7	2	1	10.41	10.41	2	1
69	0	0.0		0				0
68	0	0.0		0				0
67	0	0.0		0				0
66	0	0.0		0				0
65	18	7.7	3	1	10.62	10.62	3	1
64	0	0.0		0				0
63	0	0.0		0				0
62	0	0.0		0				0
61	0	0.0		0				0
60	18	6.7	2	1	8.92	8.92	2	1
59	0	0.0		0				0
58	0	0.0		0				0
57	0	0.0		0				0
56	0	0.0		0				0
55	13	6.8	2	1	8.26	8.26	2	1
54	0	0.0		0				0
53	0	0.0		0				0
52	0	0.0		0				0
51	0	0.0		0				0
50	13	5.8	1	1	6.56	6.56	1	1
49	0	0.0		0				0
48	0	0.0		0				0
47	0	0.0		0				0
46	0	0.0		0				0
45	9	5.9	3	1	9.4	9.4	3	1
44	0	0.0		0				0
43	0	0.0		0				0
42	0	0.0		0				0
41	0	0.0		0				0
40	9	4.9	2	1	7.7	7.7	2	1
39	0	0.0		0				0
38	0	0.0		0				0
37	0	0.0		0				0
36	0	0.0		0				0
35	6	4.8	3	1	7.91	7.91	3	1
34	0	0.0		0				0
33	0	0.0		0				0
32	0	0.0		0				0
31	0	0.0		0				0
30	6	3.8	2	1	6.21	6.21	2	1
29	0	0.0		0				0
28	0	0.0		0				0
27	0	0.0		0				0
26	0	0.0		0				0
25	4	3.5	2	1	5.55	5.55	2	1
24	0	0.0		0				0
23	0	0.0		0				0
22	0	0.0		0				0
21	0	0.0		0				0
20	4	2.5	1	1	3.85	3.85	1	1
19	0	0.0		0				0
18	0	0.0		0				0
17	0	0.0		0				0
16	0	0.0		0				0
15	2	2.5	2	1	4.06	4.06	2	1
14	0	0.0		0				0
13	0	0.0		0				0
12	0	0.0		0				0
11	0	0.0		0				0
10	2	1.5	1	1	2.36	2.36	1	1
9	0	0.0		0				0
8	0	0.0		0				0
7	0	0.0		0				0
6	0	0.0		0				0
5	1	1.0	1	1	1.7	1.7	1	1
4	0	0.0		0				0
3	0	0.0		0				0
2	0	0.0		0				0
1	0	0.0		0				0
