AUD	10	5.65
AUD	100	9
AUD	20	11.3
AUD	200	6.6
AUD	5	2.83
AUD	50	15.55
CHF	10	3
CHF	100	4.4
CHF	20	4
CHF	200	8.8
CHF	5	1.8
CHF	50	2.2
CHF	500	13.2
EUR	1	2.3
EUR	10	4.10
EUR	100	7.5
EUR	2	3.06
EUR	20	5.74
EUR	200	8.5
EUR	5	3.92
EUR	50	7.8
GBP	1	3.56
GBP	10	6.5
GBP	100	8.75
GBP	2	7.12
GBP	20	5
GBP	200	12
GBP	5	3.25
GBP	50	8
JPY	1	1
JPY	10	4.5
JPY	100	4.8
JPY	5	3.75
JPY	50	4
JPY	500	7
LSD	0.25	2.83
LSD	0.5	5.67
LSD	1	9.6
LSD	12	5.66
LSD	24	11.31
LSD	3	6.8
LSD	30	14.14
LSD	6	2.83
LSD	60	28.28
LSD_part	1	9.6
LSD_part	12	5.66
LSD_part	24	11.31
LSD_part	3	6.8
LSD_part	30	14.14
LSD_part	6	2.83
LSD_part	60	28.28
SGD	10	2.36
SGD	100	7.62
SGD	20	3.85
SGD	5	1.70
SGD	50	6.56
USD	1	2.5
USD	10	2.268
USD	25	5.67
USD	5	5
